"","date","US-CA"
"1",2012-11-25,52
"2",2012-12-02,57
"3",2012-12-09,52
"4",2012-12-16,61
"5",2012-12-23,73
"6",2012-12-30,90
"7",2013-01-06,87
"8",2013-01-13,99
"9",2013-01-20,93
"10",2013-01-27,82
"11",2013-02-03,73
"12",2013-02-10,57
"13",2013-02-17,56
"14",2013-02-24,52
"15",2013-03-03,49
"16",2013-03-10,48
"17",2013-03-17,48
"18",2013-03-24,38
"19",2013-03-31,40
"20",2013-04-07,38
"21",2013-04-14,38
"22",2013-04-21,36
"23",2013-04-28,31
"24",2013-05-05,26
"25",2013-05-12,33
"26",2013-05-19,26
"27",2013-05-26,25
"28",2013-06-02,23
"29",2013-06-09,35
"30",2013-06-16,34
"31",2013-06-23,30
"32",2013-06-30,23
"33",2013-07-07,25
"34",2013-07-14,22
"35",2013-07-21,20
"36",2013-07-28,32
"37",2013-08-04,33
"38",2013-08-11,36
"39",2013-08-18,31
"40",2013-08-25,30
"41",2013-09-01,32
"42",2013-09-08,29
"43",2013-09-15,42
"44",2013-09-22,38
"45",2013-09-29,48
"46",2013-10-06,53
"47",2013-10-13,37
"48",2013-10-20,38
"49",2013-10-27,42
"50",2013-11-03,49
"51",2013-11-10,63
"52",2013-11-17,45
"53",2013-11-24,44
"54",2013-12-01,55
"55",2013-12-08,58
"56",2013-12-15,70
"57",2013-12-22,69
"58",2013-12-29,85
"59",2014-01-05,94
"60",2014-01-12,75
"61",2014-01-19,83
"62",2014-01-26,73
"63",2014-02-02,56
"64",2014-02-09,51
"65",2014-02-16,54
"66",2014-02-23,51
"67",2014-03-02,51
"68",2014-03-09,35
"69",2014-03-16,36
"70",2014-03-23,42
"71",2014-03-30,43
"72",2014-04-06,39
"73",2014-04-13,37
"74",2014-04-20,35
"75",2014-04-27,40
"76",2014-05-04,41
"77",2014-05-11,27
"78",2014-05-18,41
"79",2014-05-25,34
"80",2014-06-01,34
"81",2014-06-08,27
"82",2014-06-15,26
"83",2014-06-22,31
"84",2014-06-29,22
"85",2014-07-06,28
"86",2014-07-13,29
"87",2014-07-20,30
"88",2014-07-27,41
"89",2014-08-03,33
"90",2014-08-10,29
"91",2014-08-17,32
"92",2014-08-24,47
"93",2014-08-31,33
"94",2014-09-07,47
"95",2014-09-14,32
"96",2014-09-21,45
"97",2014-09-28,46
"98",2014-10-05,51
"99",2014-10-12,49
"100",2014-10-19,51
"101",2014-10-26,50
"102",2014-11-02,45
"103",2014-11-09,60
"104",2014-11-16,73
"105",2014-11-23,47
"106",2014-11-30,52
"107",2014-12-07,53
"108",2014-12-14,59
"109",2014-12-21,74
"110",2014-12-28,100
"111",2015-01-04,96
"112",2015-01-11,69
"113",2015-01-18,82
"114",2015-01-25,77
"115",2015-02-01,66
"116",2015-02-08,75
"117",2015-02-15,58
"118",2015-02-22,51
"119",2015-03-01,52
"120",2015-03-08,50
"121",2015-03-15,51
"122",2015-03-22,40
"123",2015-03-29,42
"124",2015-04-05,42
"125",2015-04-12,43
"126",2015-04-19,43
"127",2015-04-26,36
"128",2015-05-03,42
"129",2015-05-10,30
"130",2015-05-17,48
"131",2015-05-24,37
"132",2015-05-31,34
"133",2015-06-07,30
"134",2015-06-14,23
"135",2015-06-21,32
"136",2015-06-28,32
"137",2015-07-05,33
"138",2015-07-12,29
"139",2015-07-19,21
"140",2015-07-26,20
"141",2015-08-02,30
"142",2015-08-09,30
"143",2015-08-16,34
"144",2015-08-23,28
"145",2015-08-30,35
"146",2015-09-06,34
"147",2015-09-13,41
"148",2015-09-20,54
"149",2015-09-27,40
"150",2015-10-04,42
"151",2015-10-11,33
"152",2015-10-18,31
"153",2015-10-25,48
"154",2015-11-01,50
"155",2015-11-08,58
"156",2015-11-15,67
"157",2015-11-22,57
"158",2015-11-29,59
"159",2015-12-06,57
"160",2015-12-13,63
"161",2015-12-20,75
"162",2015-12-27,93
"163",2016-01-03,68
"164",2016-01-10,53
"165",2016-01-17,48
"166",2016-01-24,58
"167",2016-01-31,59
"168",2016-02-07,65
"169",2016-02-14,62
"170",2016-02-21,67
"171",2016-02-28,58
"172",2016-03-06,64
"173",2016-03-13,46
"174",2016-03-20,45
"175",2016-03-27,49
"176",2016-04-03,47
"177",2016-04-10,37
"178",2016-04-17,42
"179",2016-04-24,48
"180",2016-05-01,33
"181",2016-05-08,38
"182",2016-05-15,51
"183",2016-05-22,32
"184",2016-05-29,31
"185",2016-06-05,24
"186",2016-06-12,31
"187",2016-06-19,39
"188",2016-06-26,28
"189",2016-07-03,28
"190",2016-07-10,31
"191",2016-07-17,37
"192",2016-07-24,29
"193",2016-07-31,25
"194",2016-08-07,32
"195",2016-08-14,30
"196",2016-08-21,37
"197",2016-08-28,39
"198",2016-09-04,37
"199",2016-09-11,43
"200",2016-09-18,53
"201",2016-09-25,51
"202",2016-10-02,39
"203",2016-10-09,42
"204",2016-10-16,44
"205",2016-10-23,35
"206",2016-10-30,52
"207",2016-11-06,34
"208",2016-11-13,50
"209",2016-11-20,44
"210",2016-11-27,57
"211",2016-12-04,62
"212",2016-12-11,55
"213",2016-12-18,72
"214",2016-12-25,86
"215",2017-01-01,91
"216",2017-01-08,72
"217",2017-01-15,65
"218",2017-01-22,66
"219",2017-01-29,69
"220",2017-02-05,73
"221",2017-02-12,55
"222",2017-02-19,54
"223",2017-02-26,54
"224",2017-03-05,57
"225",2017-03-12,46
"226",2017-03-19,50
"227",2017-03-26,44
"228",2017-04-02,49
"229",2017-04-09,46
"230",2017-04-16,41
"231",2017-04-23,51
"232",2017-04-30,39
"233",2017-05-07,36
"234",2017-05-14,46
"235",2017-05-21,37
"236",2017-05-28,45
"237",2017-06-04,36
"238",2017-06-11,38
"239",2017-06-18,25
"240",2017-06-25,23
"241",2017-07-02,32
"242",2017-07-09,31
"243",2017-07-16,31
"244",2017-07-23,35
"245",2017-07-30,28
"246",2017-08-06,33
"247",2017-08-13,38
"248",2017-08-20,39
"249",2017-08-27,44
"250",2017-09-03,41
"251",2017-09-10,38
"252",2017-09-17,48
"253",2017-09-24,46
"254",2017-10-01,51
"255",2017-10-08,40
"256",2017-10-15,55
"257",2017-10-22,38
"258",2017-10-29,44
"259",2017-11-05,53
"260",2017-11-12,55
