"","date","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","MD","MA","MI","MN","MS","MO","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
"1",2012-11-25,35,45,31,67,64,36,38,0,29,55,69,59,35,68,47,15,26,64,49,21,48,72,38,54,29,44,47,63,33,65,44,59,54,43,48,41,42,50,36,21,42,21,68,60,46,56,43,64,36,44,47
"2",2012-12-02,43,0,15,28,58,36,23,23,12,71,80,44,44,32,26,39,40,47,44,21,0,32,39,18,50,55,63,47,100,42,40,33,51,47,68,45,65,33,36,21,59,21,59,48,23,0,36,57,48,27,0
"3",2012-12-09,63,33,42,20,47,42,43,23,12,55,70,45,18,71,48,39,65,58,68,24,48,22,39,42,49,33,62,89,34,47,31,27,48,44,48,25,48,91,56,44,39,0,65,58,64,32,60,48,25,67,48
"4",2012-12-16,60,75,52,32,56,49,20,25,32,44,76,32,29,66,52,34,15,86,37,45,0,23,20,25,55,0,67,79,37,57,20,26,49,37,86,23,0,61,39,62,43,23,76,58,43,42,54,48,28,53,52
"5",2012-12-23,24,0,53,100,69,70,45,28,28,78,74,67,45,68,65,51,25,16,100,34,40,52,22,80,62,40,92,67,0,69,68,50,100,100,94,52,28,82,61,30,87,27,63,95,100,45,73,36,45,91,0
"6",2012-12-30,85,0,98,43,83,100,62,48,100,89,76,0,59,100,100,71,100,42,66,46,52,47,100,50,71,72,100,84,0,77,60,58,82,74,100,61,51,79,68,27,76,23,65,89,86,40,88,76,41,74,53
"7",2013-01-06,82,36,95,39,82,50,89,91,57,71,61,29,35,71,54,56,69,98,65,28,32,55,85,47,63,87,92,59,32,72,83,80,97,70,60,100,47,99,100,24,26,21,47,89,62,38,100,63,39,52,0
"8",2013-01-13,74,0,92,66,96,71,45,100,62,53,70,58,44,66,41,53,97,44,65,42,64,33,75,24,100,54,78,58,32,49,72,57,77,79,60,58,34,67,67,47,41,0,75,75,54,37,84,76,0,74,0
"9",2013-01-20,42,0,100,66,86,62,67,90,38,66,71,43,17,71,56,53,35,38,53,54,64,85,47,47,65,32,79,47,0,54,70,100,82,79,61,45,47,46,72,22,46,0,76,98,85,61,69,81,35,63,48
"10",2013-01-27,65,44,53,55,92,28,45,45,65,57,68,42,43,59,59,44,50,43,36,20,0,41,35,69,63,21,62,47,32,70,43,50,52,57,72,42,67,59,53,65,35,40,48,56,67,28,44,66,23,25,0
"11",2013-02-03,15,29,61,28,71,38,45,21,45,52,66,85,42,45,29,46,33,38,49,39,31,40,30,50,52,32,47,47,0,41,52,95,42,59,64,34,34,54,52,21,20,61,57,47,37,55,39,35,34,41,0
"12",2013-02-10,45,29,55,19,60,44,62,21,32,51,49,57,35,57,39,45,55,13,19,31,31,30,45,35,32,31,58,56,32,32,17,44,50,30,65,46,45,63,37,64,20,20,38,43,30,56,47,64,35,37,69
"13",2013-02-17,31,30,46,91,57,45,57,0,38,68,58,84,17,43,48,14,49,37,49,21,61,30,37,51,39,31,62,60,32,45,68,87,46,39,60,45,33,50,44,21,58,41,56,39,37,40,39,53,46,37,46
"14",2013-02-24,54,29,57,36,55,41,44,41,33,38,41,50,17,60,62,14,24,19,33,78,30,51,37,18,37,40,50,63,32,33,58,86,38,35,49,42,33,49,48,21,43,0,60,46,37,0,43,65,56,30,0
"15",2013-03-03,59,29,36,37,43,40,33,32,31,62,63,52,43,35,57,14,33,49,27,50,61,21,27,87,48,51,63,52,31,39,26,61,45,37,48,35,80,47,38,20,25,21,62,41,44,57,54,32,23,31,46
