"","region","hits"
"1","alabama",16
"2","arizona",28
"3","arkansas",28
"4","california",28
"5","colorado",20
"6","connecticut",17
"7","delaware",0
"8","district of columbia",45
"9","florida",45
"10","georgia",47
"11","idaho",36
"12","illinois",36
"13","indiana",28
"14","iowa",15
"15","kansas",0
"16","kentucky",17
"17","louisiana",14
"18","maine",41
"19","maryland",17
"20","massachusetts:martha's vineyard",31
"21","massachusetts:main",31
"22","massachusetts:nantucket",31
"23","michigan:north",23
"24","michigan:south",23
"25","minnesota",42
"26","mississippi",23
"27","missouri",33
"28","montana",33
"29","nebraska",31
"30","nevada",26
"31","new hampshire",18
"32","new jersey",23
"33","new mexico",21
"34","new york:manhattan",33
"35","new york:main",33
"36","new york:staten island",33
"37","new york:long island",33
"38","north carolina:knotts",45
"39","north carolina:main",45
"40","north carolina:spit",45
"41","north dakota",0
"42","ohio",24
"43","oklahoma",34
"44","oregon",50
"45","pennsylvania",33
"46","rhode island",32
"47","south carolina",10
"48","south dakota",0
"49","tennessee",25
"50","texas",41
"51","utah",16
"52","vermont",0
"53","virginia:chesapeake",23
"54","virginia:chincoteague",23
"55","virginia:main",23
"56","washington:san juan island",27
"57","washington:lopez island",27
"58","washington:orcas island",27
"59","washington:whidbey island",27
"60","washington:main",27
"61","west virginia",24
"62","wisconsin",11
"63","wyoming",47
