"","State","Abbreviation"
"1","Alabama","US-AL"
"2","Alaska","US-AK"
"3","Arizona","US-AZ"
"4","Arkansas","US-AR"
"5","California","US-CA"
"6","Colorado","US-CO"
"7","Connecticut","US-CT"
"8","Delaware","US-DE"
"9","District of Columbia","US-DC"
"10","Florida","US-FL"
"11","Georgia","US-GA"
"12","Hawaii","US-HI"
"13","Idaho","US-ID"
"14","Illinois","US-IL"
"15","Indiana","US-IN"
"16","Iowa","US-IA"
"17","Kansas","US-KS"
"18","Kentucky","US-KY"
"19","Louisiana","US-LA"
"20","Maine","US-ME"
"21","Montana","US-MT"
"22","Nebraska","US-NE"
"23","Nevada","US-NV"
"24","New Hampshire","US-NH"
"25","New Jersey","US-NJ"
"26","New Mexico","US-NM"
"27","New York","US-NY"
"28","North Carolina","US-NC"
"29","North Dakota","US-ND"
"30","Ohio","US-OH"
"31","Oklahoma","US-OK"
"32","Oregon","US-OR"
"33","Maryland","US-MD"
"34","Massachusetts","US-MA"
"35","Michigan","US-MI"
"36","Minnesota","US-MN"
"37","Mississippi","US-MS"
"38","Missouri","US-MO"
"39","Pennsylvania","US-PA"
"40","Rhode Island","US-RI"
"41","South Carolina","US-SC"
"42","South Dakota","US-SD"
"43","Tennessee","US-TN"
"44","Texas","US-TX"
"45","Utah","US-UT"
"46","Vermont","US-VT"
"47","Virginia","US-VA"
"48","Washington","US-WA"
"49","West Virginia","US-WV"
"50","Wisconsin","US-WI"
"51","Wyoming","US-WY"
